"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"25-JAN-2024","PGINVIT","POWERGRID Infra. INVITs","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","15,99,231","100.09","-"
"25-JAN-2024","PGINVIT","POWERGRID Infra. INVITs","SOCIETE GENERALE","SELL","15,99,231","100.09","-"
"25-JAN-2024","PHOENIXLTD","The Phoenix Mills Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","2,10,299","2,367.05","-"
"25-JAN-2024","PHOENIXLTD","The Phoenix Mills Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","7,869","2,367.05","-"
"25-JAN-2024","PHOENIXLTD","The Phoenix Mills Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","1,560","2,367.05","-"
"25-JAN-2024","PHOENIXLTD","The Phoenix Mills Limited","SOCIETE GENERALE","SELL","2,19,728","2,367.05","-"
"25-JAN-2024","POLICYBZR","PB Fintech Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","8,82,868","922.95","-"
"25-JAN-2024","POLICYBZR","PB Fintech Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","45,547","922.95","-"
"25-JAN-2024","POLICYBZR","PB Fintech Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","2,50,450","922.95","-"
"25-JAN-2024","POLICYBZR","PB Fintech Limited","SOCIETE GENERALE","SELL","11,78,865","922.95","-"
"25-JAN-2024","POWERGRID","Power Grid Corporation of","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","12,80,076","246.20","-"
"25-JAN-2024","POWERGRID","Power Grid Corporation of","SOCIETE GENERALE","SELL","12,80,076","246.20","-"
"25-JAN-2024","SAPPHIRE","Sapphire Foods India Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","2,38,189","1,438.90","-"
"25-JAN-2024","SAPPHIRE","Sapphire Foods India Ltd","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","1,923","1,438.90","-"
"25-JAN-2024","SAPPHIRE","Sapphire Foods India Ltd","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","158","1,438.90","-"
"25-JAN-2024","SAPPHIRE","Sapphire Foods India Ltd","SOCIETE GENERALE","SELL","2,40,270","1,438.90","-"
"25-JAN-2024","SHRIRAMFIN","Shriram Finance Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","14,72,746","2,302.45","-"
"25-JAN-2024","SHRIRAMFIN","Shriram Finance Limited","MARSHALL WACE INVESTMENT STRATEGIES  SYSTEMATIC ALPHA PLUS FUND","BUY","2,611","2,302.45","-"
"25-JAN-2024","SHRIRAMFIN","Shriram Finance Limited","MARSHALL WACE INVESTMENT STRATEGIES GLOBAL FINANCIALS MARKET NEUTRAL FUND","BUY","46,187","2,302.45","-"
"25-JAN-2024","SHRIRAMFIN","Shriram Finance Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","62,049","2,302.45","-"
"25-JAN-2024","SHRIRAMFIN","Shriram Finance Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","16,751","2,302.45","-"
"25-JAN-2024","SHRIRAMFIN","Shriram Finance Limited","SOCIETE GENERALE","SELL","16,00,344","2,302.45","-"
"25-JAN-2024","STAR","Strides Pharma ScienceLtd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","1,99,486","671.85","-"
"25-JAN-2024","STAR","Strides Pharma ScienceLtd","SOCIETE GENERALE","SELL","1,99,486","671.85","-"
"25-JAN-2024","SUNDARMFIN","Sundaram Finance Ltd.","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","95,628","3,596.85","-"
"25-JAN-2024","SUNDARMFIN","Sundaram Finance Ltd.","SOCIETE GENERALE","SELL","95,628","3,596.85","-"
"25-JAN-2024","SUNPHARMA","Sun Pharma Industries Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","26","1,382.10","-"
"25-JAN-2024","SUNPHARMA","Sun Pharma Industries Ltd","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","1,27,712","1,382.10","-"
"25-JAN-2024","SUNPHARMA","Sun Pharma Industries Ltd","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","3,160","1,382.10","-"
"25-JAN-2024","SUNPHARMA","Sun Pharma Industries Ltd","SOCIETE GENERALE","SELL","1,30,898","1,382.10","-"
"25-JAN-2024","SYRMA","Syrma SGS Technology Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","1,68,276","595.30","-"
"25-JAN-2024","SYRMA","Syrma SGS Technology Ltd","SOCIETE GENERALE","SELL","1,68,276","595.30","-"
